old_path_in_previous_zip,new_ascii_path_in_repair_zip
project/design/σñ⌐σ╖ÑΘÇáτë⌐_L0Θ¢╢Σ╛¥Φ╡ûσÄƒΦ»¡σ▒éΦ«╛Φ«í_v0.1.txt,project/design/tiangong_L0_zero_dependency_primitives_design_v0_1.txt
project/design/σñ⌐σ╖ÑΘÇáτë⌐_σà¿σ▒Çµ₧╢µ₧äσ«¬µ│ò_v0.1.txt,project/design/tiangong_global_architecture_constitution_v0_1.txt
project/docs/l3_total_planning/σñ⌐σ╖ÑΘÇáτë⌐_L3σ╖Ñτ¿ïΣ║ñΣ╗ÿΦºäΦîâΣ╕ÄΦ┤¿µúÇµ╕àσìò_20260603.txt,project/docs/l3_total_planning/tiangong_L3_engineering_delivery_spec_and_quality_checklist_20260603.txt
project/docs/l3_total_planning/σñ⌐σ╖ÑΘÇáτë⌐_L3µÇ╗τ¡ûσêÆΣ╣ª_20260603.txt,project/docs/l3_total_planning/tiangong_L3_total_plan_20260603.txt
project/docs/l3_total_planning/σñ⌐σ╖ÑΘÇáτë⌐_L3µÇ╗τ¡ûσêÆΣ║ñµÄÑΦ»┤µÿÄ_20260603.txt,project/docs/l3_total_planning/tiangong_L3_total_planning_handoff_20260603.txt
project/docs/l3_total_planning/σñ⌐σ╖ÑΘÇáτë⌐_L3τ¼¼Σ╕ÇΘÿ╢µ«╡σ╖Ñτ¿ïσæÿµÅÉτñ║Φ»ì_20260603.txt,project/docs/l3_total_planning/tiangong_L3_phase1_engineer_prompt_20260603.txt
project/docs/σñ⌐σ╖ÑΘÇáτë⌐_L1σà¿Θÿ╢µ«╡Σ┐«σñìσæÿµÅÉτñ║Φ»ì_20260603.txt,project/docs/tiangong_L1_full_stage_repairer_prompt_20260603.txt
project/docs/σñ⌐σ╖ÑΘÇáτë⌐_L2τ¼¼Σ╣¥Θÿ╢µ«╡σ╖Ñτ¿ïσæÿµÅÉτñ║Φ»ì_20260603.txt,project/docs/tiangong_L2_phase9_engineer_prompt_20260603.txt
project/docs/σñ⌐σ╖ÑΘÇáτë⌐_L2τ¼¼σà½Θÿ╢µ«╡σ╖Ñτ¿ïσæÿµÅÉτñ║Φ»ì_20260603.txt,project/docs/tiangong_L2_phase8_engineer_prompt_20260603.txt
project/docs/σñ⌐σ╖ÑΘÇáτë⌐_L3τ¼¼Σ║îΘÿ╢µ«╡σ╖Ñτ¿ïσæÿµÅÉτñ║Φ»ì_20260603.txt,project/docs/tiangong_L3_phase2_engineer_prompt_20260603.txt
